"Código (SKU)";"Descrição";"Estoque físico"
"RFMM94";"SUBCONJUNTO ECOSPORT 94>12 / RANGER 05>09 LD";"0,00"
"RFMM95";"SUBCONJUNTO ECOSPORT 94>12 / RANGER 05>09 LE";"0,00"
"RFPE02FX";"RETROV EXT FIXO PICK-UP RANGER LD 2005 (ADAP. MOD. ANTERIORES)";"44,00"
"RFPE03FX";"RETROV EXT FIXO PICK-UP RANGER LE 2005 (ADAP. MOD. ANTERIORES)";"0,00"
"RFPE04CE";"RETROV EXT C/ELETR PICK-UP RANGER LD 2005 (ADAP. MOD. ANTERIORES)";"0,00"
"RFPE05CE";"RETROV EXT C/ELETR PICK-UP RANGER LE 2005 (ADAP. MOD. ANTERIORES)";"4,00"
"RFSE72FX";"RETROV EXT KA 08> LD FIXO";"2,00"
"RFSE73FX";"RETROV EXT KA 08> LE FIXO";"0,00"
"RFSE74CR";"RETROV EXT C/REM KA 08 > 14 LD";"3,00"
"RFSE75CR";"RETROV EXT C/REM KA 08 > 14 LE";"0,00"
"RFSE76CR";"RETROV EXT C/REM KA 08 > 14 LD - COM PISCA";"0,00"
"RFSE77CR";"RETROV EXT C/REM KA 08 > 14 LE - COM PISCA";"0,00"
"RFTE34CC";"RETROV EXT  CARGO 814/815 08> LD CONJ COMPL VIDRO DUPLO";"0,00"
"RFTE34CCL";"RETROV EXT  CARGO 814/815 08> LD CONJ COMPL VIDRO DUPLO";"0,00"
"RFTE35C";"RETROV EXT MB LE";"1,00"
"RFTE35CC";"RETROV EXT  CARGO 814/815 08> LE CONJ COMPL VIDRO DUPLO";"0,00"
"RFTE35CCL";"RETROV EXT  CARGO 2009";"0,00"
"RFTE35CL";"SUBCONJUNTO FORD CARGO LE";"0,00"
"RFTE35CS/B";"RETROV EXT MB LE S/ABRAC E S/TAMPA";"0,00"
"RFUC06";"CAPA RETROV TEXTURIZADA RANGER 13> LD";"0,00"
"RFUC06COLOR";"CAPA RETROV RANGER 13> LD COLOR";"0,00"
"RFUC06LI";"CAPA RETROV RANGER 13> LD LISA";"298,00"
"RFUC07";"CAPA RETROV TEXTURIZADA RANGER 13> LE";"0,00"
"RFUC07COLOR";"CAPA RETROV RANGER 13 > LE COLOR";"0,00"
"RFUC07LI";"CAPA RETROV RANGER 13> LE LISA";"274,00"
"RFUC10LI";"CAPA RETROV RANGER 13> LD LISA C/FURO";"99,00"
"RFUC11LI";"CAPA RETROV RANGER 13> LE LISA C/FURO";"201,00"
"RFUE04CE";"RETROV EXT C/ELETR RANGER 12>17 LD";"0,00"
"RFUE04FX";"RETROV EXT FIXO RANGER 12>17 LD";"0,00"
"RFUE05CE";"RETROV EXT C/ELETR RANGER 12>17 LE";"0,00"
"RFUE05FX";"RETROV EXT FIXO RANGER 12>17 LE";"0,00"
"RFUE06CEC";"RETROV EXT C/ELETR RANGER 12>17 LD CROMADO";"1,00"
"RFUE07CEC";"RETROV EXT C/ELETR RANGER 12>17 LE CROMADO";"0,00"
"RFUE10CEC";"RETROV EXT C/ELETR RANGER 12>17 LD com Pisca capa Cromado + Fold Way+ Luz de Solo";"7,00"
"RFUE11CEC";"RETROV EXT C/ELETR RANGER 12>17 LE com Pisca capa Cromado + Fold Way+ Luz de Solo";"2,00"
"RFUE64CC";"RETROV EXT  CARGO HS 11/12 LD";"0,00"
"RFUE64CCE";"RETROV EXT  CARGO HS 11/12 LD C/DESEMB";"0,00"
"RFUE64CCEL";"RETROV EXT  CARGO HS 12> LD C/DESEMB";"0,00"
"RFUE64CCL";"RETROV EXT  CARGO HS 12> LD";"0,00"
"RFUE65CC";"RETROV EXT  CARGO HS 11/12 LE";"0,00"
"RFUE65CCE";"RETROV EXT  CARGO HS 11/12 LE C/DESEMB";"0,00"
"RFUE65CCEL";"RETROV EXT  CARGO HS 12> LE C/DESEMB";"24,00"
"RFUE65CCL";"RETROV EXT  CARGO HS 12> LE";"0,00"
"RFUM06";"SUBCONJUNTO RANGER 13> LD";"0,00"
"RFUM07";"SUBCONJUNTO RANGER 13> LE";"0,00"
"RFUM64";"SUBCONJUNTO FORD CARGO SUPERIOR MENOR";"559,00"
"RFUM65";"SUBCONJUNTO FORD CARGO SUPERIOR MENOR LE";"0,00"
"RFXE91CE";"RETROV EXT C/ELETR NOVO TROLLER T4 LE";"0,00"
"RFXE92CE";"RETROV EXT C/ELETR NOVO TROLLER T4 LD";"0,00"
"RFYE03FX";"RETROV EXT FIXO RANGER 2018> C/ CAPA TEXTURIZADA LE";"2,00"
"RFYE04FX";"RETROV EXT FIXO RANGER 2018> C/ CAPA TEXTURIZADA LD";"2,00"
"RFYE05CE";"RETROV. EXT C/ELETR RANGER 2018> C/PISCA CAPA CROMADO + F.WAY+LUZ DE SOLO LE";"0,00"
"RFYE06CE";"RETROV. EXT C/ELETR RANGER 2018> C/PISCA CAPA CROMADO + F.WAY+LUZ DE SOLO LD";"0,00"
"RFYE07CE";"RETROV. EXT C/ELETR RANGER 2018> C/CAPA CROMADA LE";"0,00"
"RFYE08CE";"RETROV. EXT C/ELETR RANGER 2018> C/CAPA CROMADA LD";"0,00"
"RFYE09CE";"RETROV. EXT C/ELETR RANGER 2018> C/CAPA TEXTURIZADA LE";"0,00"
"RFYE10CE";"RETROV. EXT C/ELETR RANGER 2018> C/CAPA TEXTURIZADA LD";"0,00"
"RG0I45PL";"RETROV INT CHEVETTE/ MARAJÓ/ KADETT/ IPANEMA PLANO";"0,00"
"RG0I46PR";"RETROV INT PRISMAT CHEVETTE/ MARAJÓ/ KADETT/ IPANEMA/ MONZA";"0,00"
"RG1I07PR";"RETROV INT CORSA  94>01 PRISMATICO";"0,00"
"RG1I17PR";"RETROV INT S10/ BLAZER 92/99 SILVERADO 97/ CLASSE A 98> PRISMATICO";"0,00"
"RG1I17PRE";"RETROV INT PRISMAT S-10/BLAZER/ SILVERADO/ CLASSE A - S/LAMPADA 95>";"0,00"
"RG1I35PR";"RETROV INT PRISMATICO VECTRA 00>";"0,00"
"RG1I40EC";"RETROV INT  ASTRA 98> ELETROCROMICO";"0,00"
"RG1I83PR";"RETROV INT PRISMATICO - CORSA NOVO/CELTA 02>";"0,00"
"RG7M12";"LENTE RETROV KADETT 94/98 LD CR";"18,00"
"RG8E43CR";"RETROV EXT MONZA 86/90 LE CR";"0,00"
"RG8E44CR";"RETROV EXT MONZA 86/90 LD CR";"0,00"
"RG8E46CE";"RETROV EXT MONZA 86/90 LE CE";"0,00"
"RG9E14CR";"RETROV EXT MONZA 91/93 LD CR";"5,00"
"RG9E15CR";"RETROV EXT MONZA 91/93 LE CR";"0,00"
"RG9M15";"LENTE RETROV MONZA KADETT 85/93 LE";"480,00"
